MPG,Acceleration
18.0,12.0
15.0,11.5
18.0,11.0
16.0,12.0
17.0,10.5
15.0,10.0
14.0, 9.0
14.0, 8.5
14.0,10.0
15.0, 8.5
15.0,10.0
14.0, 8.0
15.0, 9.5
14.0,10.0
24.0,15.0
22.0,15.5
18.0,15.5
21.0,16.0
27.0,14.5
26.0,20.5
25.0,17.5
24.0,14.5
25.0,17.5
26.0,12.5
21.0,15.0
10.0,14.0
10.0,15.0
11.0,13.5
9.0 ,18.5
27.0,14.5
28.0,15.5
25.0,14.0
25.0,19.0
19.0,13.0
16.0,15.5
17.0,15.5
19.0,15.5
18.0,15.5
14.0,12.0
14.0,11.5
14.0,13.5
14.0,13.0
12.0,11.5
13.0,12.0
13.0,12.0
18.0,13.5
22.0,19.0
19.0,15.0
18.0,14.5
23.0,14.0
28.0,14.0
30.0,19.5
30.0,14.5
31.0,19.0
35.0,18.0
27.0,19.0
26.0,20.5
24.0,15.5
25.0,17.0
23.0,23.5
20.0,19.5
21.0,16.5
13.0,12.0
14.0,12.0
15.0,13.5
14.0,13.0
17.0,11.5
11.0,11.0
13.0,13.5
12.0,13.5
13.0,12.5
19.0,13.5
15.0,12.5
13.0,14.0
13.0,16.0
14.0,14.0
18.0,14.5
22.0,18.0
21.0,19.5
26.0,18.0
22.0,16.0
28.0,17.0
23.0,14.5
28.0,15.0
27.0,16.5
13.0,13.0
14.0,11.5
13.0,13.0
14.0,14.5
15.0,12.5
12.0,11.5
13.0,12.0
13.0,13.0
14.0,14.5
13.0,11.0
12.0,11.0
13.0,11.0
18.0,16.5
16.0,18.0
18.0,16.0
18.0,16.5
23.0,16.0
26.0,21.0
11.0,14.0
12.0,12.5
13.0,13.0
12.0,12.5
18.0,15.0
20.0,19.0
21.0,19.5
22.0,16.5
18.0,13.5
19.0,18.5
21.0,14.0
26.0,15.5
15.0,13.0
16.0,9.50
29.0,19.5
24.0,15.5
20.0,14.0
19.0,15.5
15.0,11.0
24.0,14.0
20.0,13.5
11.0,11.0
20.0,16.5
21.0,17.0
19.0,16.0
15.0,17.0
31.0,19.0
26.0,16.5
32.0,21.0
25.0,17.0
16.0,17.0
16.0,18.0
18.0,16.5
16.0,14.0
13.0,14.5
14.0,13.5
14.0,16.0
14.0,15.5
29.0,16.5
26.0,15.5
26.0,14.5
31.0,16.5
32.0,19.0
28.0,14.5
24.0,15.5
26.0,14.0
24.0,15.0
26.0,15.5
31.0,16.0
19.0,16.0
18.0,16.0
15.0,21.0
15.0,19.5
16.0,11.5
15.0,14.0
16.0,14.5
14.0,13.5
